flower_name;description
 Pembe Çuha Çiçeği;Bahar aylarında açan, narin pembe çiçekleriyle doğaya zarif bir hava katar.
 Sert Yapraklı Orkide;Tropikal iklimlerde yetişen, dayanıklı yaprakları ve zarif çiçekleriyle dikkat çeken nadir bir orkide türüdür.
Campanula Medium;Çan şeklinde açan mor, pembe ya da mavi çiçekleriyle göz kamaştıran bir bahçe süsüdür.
 Tatlı Bezelye;Hoş kokusu ve tırmanıcı yapısıyla bahçelerde sıkça tercih edilen renkli bir çiçektir.
 İngiliz Kadife Çiçeği;Altın sarısı çiçekleriyle hem şifa hem süs amacıyla kullanılan geleneksel bir bitkidir.
Kaplan Zambak;Turuncu üzerine siyah benekleriyle kaplan desenini andıran, gösterişli bir zambak türüdür.
 Ay Orkide;Beyaz, sade ve zarif çiçekleriyle iç mekânlarda en çok tercih edilen orkide türlerinden biridir.
Cennet Kuşu;Egzotik görünümüyle kuşu andıran bu çiçek, tropikal bahçelerin yıldızıdır.
 Kurtboğan;"Mor-mavi çiçekleri başlık şeklindedir; güzelliğinin yanında zehirli yapısıyla dikkat çeker."
 Eşek Dikeni;Mavi-mor renkli, dikenli ve küre biçimindeki çiçekleriyle peyzaj düzenlemelerinde kullanılır.
Aslanağzı;"Renkli çiçekleri aslanın ağzını andırır; bastırıldığında açılıp kapanmasıyla bilinir."
 Öksürükotu;"Sarı çiçekleri erken baharda açar, yaprakları ise sonradan gelişir; şifalı özellikleriyle bilinir."
Kral Protea;Güney Afrika kökenli, büyük ve gösterişli çiçek başlarıyla tanınan bir türdür.
Devedikeni;Sivri dikenleri ve mor çiçek başlarıyla genellikle yabani alanlarda yetişir.
Sarısüsen;Bataklık alanlarda yetişen, parlak sarı çiçekleriyle tanınan bir süsendir.
Küre Çiçeği;Yuvarlak formda, genellikle sarı renkte açan sevimli bir çiçektir.
Ekinezya;"Mor yaprakları ve konik ortasıyla dikkat çeker; bağışıklık sistemini destekleyici özelliğiyle bilinir."
Alstromerya;Minik benekli yapraklarıyla renkli bir görünüme sahip, dayanıklı bir çiçektir.
Balon Çiçeği;Tomurcukları şişkin balon şeklinde olan bu bitki, açtığında yıldız biçiminde mavi çiçekler sunar.
 Gala Çiçeği;Büyük beyaz çiçekleri ve uzun saplarıyla zarafet simgesidir.
Ateş Zambağı;Parlak kırmızı-turuncu tonlardaki çiçekleriyle adeta ateşi andırır.
 İğne Yastığı Çiçeği;İğnelik görünümünde, zarif ve uzun saplı çiçekleriyle tanınır.
 Fritillaria;Desenli taç yapraklara sahip, genellikle mor ve kahverengi tonlarında açan soğanlı bir bitkidir.
 Kırmızı Zencefil;Tropikal bölgelerde yetişen, uzun ve gösterişli kırmızı çiçek başlarıyla dikkat çeker.
 Türk Sümbülü;Minik, üzüm salkımını andıran mor-mavi çiçekleriyle bahar habercisidir.
 Gelincik;Tarlalarda kendiliğinden yetişen, ince yapraklı kırmızı çiçekleriyle bilinen bir kır çiçeğidir.
 Galler Tüy Çiçeği;Tüylü yapraklara benzeyen yapısıyla dikkat çeken gösterişli bir bitkidir.
 Sapsız Gentian;Mavi çiçekleri yere yakın şekilde açan alçak yapılı bir dağ çiçeğidir.
 Enginar;Aslen sebze olarak bilinse de, mor çiçek açtığında oldukça etkileyici bir görünüme sahiptir.
 Hüsnüyusuf Çiçeği;Renkli kümeler halinde açan hoş kokulu çiçekleriyle bahçelere neşe katar.
 Karanfil;Uzun ömürlü ve hoş kokulu çiçekleriyle düğün ve kutlamalarda sıkça tercih edilen klasik bir çiçektir.
 Alev Çiçeği;Parlak renkli çiçekleriyle yaz bahçelerini süsleyen, yoğun kokulu bir bitkidir.
 Şam Çörek Otu;İnce yaprakları arasında saklanan mavi çiçekleriyle romantik bir görünüme sahiptir.
 Meksika Yıldızı ;Papatyaya benzeyen renkli çiçekleriyle sonbaharda bahçelere canlılık katar.
 Alp Deniz İğdesi;Mavi tonlarda sivri yapraklı çiçekleriyle dikkat çeken dayanıklı bir alp bitkisidir.
 Cattleya Labiata ;Kırmızı dudaklı büyük çiçekleriyle en gösterişli orkide türlerinden biridir.
 Nerine Bowdenii ;Parlak ve geniş çiçekleriyle Güney Afrika kökenli dayanıklı bir süs bitkisidir.
Havaifişek Çiçeği;Yıldız biçimli çiçekleri ve zarif yapraklarıyla orman kenarlarında sıkça görülür.
Siam Lalesi  ;Zencefil ailesinden olan bu çiçek, pembe çiçekleriyle tropik bahçelere renk katar.
Çöplemecik;Erken ilkbaharda açan mor tonlu çiçekleriyle gölge alanların gözdesidir.
Barberton Papatya;Büyük, düz ve renkli çiçekleriyle iç ve dış mekân süslemelerinde çok sevilir.
Nergis;Sarı renkli taç yaprakları ve trompet biçimli ortasıyla baharın sembolüdür.
Kuzgunkılıcı;Uzun saplı, renkli ve zarif çiçekleriyle yaz aylarının gözdesidir.
Atatürk Çiçeği;Yılbaşında kırmızı yapraklarıyla evleri süsleyen popüler bir iç mekân bitkisidir.
Bolero Mavisi;Derin mavi-mor çiçekleriyle dikkat çeken zarif ve sakinleştirici bir süs bitkisidir.
Şebboy;Sıcak tonlardaki çiçekleriyle duvar diplerinde ve saksılarda güzel bir görüntü sunar.
Kadife Çiçeği ;Parlak sarı ve turuncu çiçekleriyle böcek kovucu özelliği olan geleneksel bir bitkidir.
Altıntabak Çiçeği;Altın sarısı küçük çiçekleriyle çayırlarda kendiliğinden yetişen neşeli bir çiçektir.
Beyaz Ay Papatyası;Büyük beyaz yaprakları ve sarı ortasıyla klasik bir kır papatyası türüdür.
Karahindiba;Sarı çiçekleri ve uçuşan tohumlarıyla çocukların favorisi olan yaygın bir kır çiçeğidir.
Petunya;Renkli ve hoş kokulu çiçekleriyle balkon ve saksıların vazgeçilmez süsüdür.
Hercai Menekşe;Minik ama renkli çiçekleriyle doğal alanlarda kendiliğinden büyüyen sevimli bir bitkidir.
Çuha Çiçeği;İlkbaharda açan renkli ve canlı çiçekleriyle bahçelere neşe katar.
Ayçiçeği;Büyük, sarı çiçekleri ve güneşe yönelmesiyle tanınan enerji sembolüdür.
Itır;"Genellikle sardunya olarak bilinir; uzun süre açan çiçekleriyle balkonları süsler."
Yıldız Çiçeği;Koyu kırmızı kadifemsi çiçekleriyle dramatik ve asil bir görünüm sunar.
Gavura Çiçeği  ;Uzun ince saplarında dans eden beyaz-pembe çiçekleriyle hafif bir zarafet taşır.
Turnagagası;Renkli çiçekleri ve hoş kokulu yapraklarıyla hem iç hem dış mekânlarda tercih edilir.
